"especie";"altura_cm";"peso_kg";"tamanho_cranio_cm";"genero";"dia_semana_coleta"
"chimpanzé";86.4;48.9;32.3;"masculino";4
"chimpanzé";86.5;49.3;30.4;"feminino";5
"bonobo";67.3;40.3;28.6;"feminino";5
"chimpanzé";85.5;49.8;30.3;"masculino";1
"chimpanzé";84;47.3;33.2;"feminino";2
"bonobo";68.7;40.6;28.4;"masculino";1
"bonobo";73.7;41.8;27.7;"masculino";4
"chimpanzé";82.2;45.4;30.4;"feminino";7
"chimpanzé";76.6;48.3;31.9;"feminino";3
"bonobo";74.6;38.1;28.7;"masculino";2
"bonobo";74.2;34.6;26.9;"feminino";2
"bonobo";68.7;36.7;27.2;"feminino";6
"bonobo";73.2;38;28.5;"feminino";1
"chimpanzé";81;50.9;27.2;"feminino";4
"chimpanzé";82.7;50.8;27.6;"feminino";7
"bonobo";79.8;38.1;29.7;"masculino";2
"chimpanzé";82.8;57.5;32.9;"masculino";3
"bonobo";77.8;41.3;29;"masculino";6
"chimpanzé";90.3;49.1;32.2;"masculino";3
"bonobo";69.3;32.8;25.8;"feminino";2
"chimpanzé";83;51.4;30.9;"masculino";2
"bonobo";72.8;41.6;27;"feminino";3
"bonobo";75.4;39.6;29;"feminino";7
"bonobo";74.3;36.3;30.4;"feminino";4
"chimpanzé";88.9;51;32.4;"masculino";3
"chimpanzé";88.1;52.1;33.3;"masculino";2
"bonobo";70.7;39.4;28;"feminino";5
"bonobo";69.8;35.1;29.2;"masculino";1
"chimpanzé";85.9;45.9;30.6;"feminino";1
"chimpanzé";79.6;45.9;28.8;"feminino";4
"chimpanzé";82.1;39.6;29;"feminino";1
"chimpanzé";81.8;48.6;30.8;"feminino";5
"chimpanzé";79.5;50.9;30.9;"feminino";7
"chimpanzé";90.4;53.7;29.8;"masculino";5
"bonobo";77;41.3;27.8;"feminino";5
"bonobo";84.2;43.1;29;"masculino";1
"chimpanzé";75.9;47;30.7;"feminino";4
"chimpanzé";86.6;50.3;33.5;"masculino";4
"bonobo";71.1;36.7;26;"feminino";3
"bonobo";75.9;33.6;29.8;"feminino";5
"chimpanzé";86;50.4;33.6;"masculino";1
"chimpanzé";89.9;51.6;30.9;"masculino";2
"bonobo";73.8;34.6;24.1;"feminino";2
"bonobo";69.9;38.5;25.6;"feminino";1
"chimpanzé";84.6;49.3;30.5;"feminino";6
"chimpanzé";78.4;48.4;31.9;"feminino";6
"bonobo";70.7;39.7;27.2;"masculino";7
"bonobo";76.5;37.9;27.3;"feminino";7
"bonobo";71;38.6;29;"masculino";6
"bonobo";73.5;36.5;29;"feminino";2
"chimpanzé";81.6;49.6;30;"feminino";1
"chimpanzé";82.6;54.4;32;"masculino";3
"chimpanzé";90.8;52.4;34.2;"masculino";5
"chimpanzé";88.9;52.5;33.1;"masculino";2
"chimpanzé";92.2;53.5;30.8;"masculino";5
"bonobo";70.4;37.5;31.5;"masculino";7
"bonobo";65.9;37.5;28.4;"feminino";6
"bonobo";72.9;37.7;27;"feminino";3
"chimpanzé";73.3;47.2;30.3;"feminino";1
"chimpanzé";86.6;48.5;32.1;"feminino";2
"chimpanzé";87.7;52;33.7;"masculino";6
"bonobo";72.7;41.4;28.4;"feminino";3
"chimpanzé";97.9;50.7;31.4;"masculino";6
"chimpanzé";89.1;51.3;32.3;"masculino";3
"bonobo";68.3;38.6;29.6;"feminino";6
"chimpanzé";78.5;45.3;30.3;"feminino";3
"bonobo";77;35.5;28.5;"masculino";5
"chimpanzé";84.6;49.4;30.4;"feminino";3
"bonobo";77.7;37.5;28.3;"masculino";4
"chimpanzé";72.4;45.8;30;"feminino";2
"bonobo";69;41.9;28.2;"feminino";6
"chimpanzé";94.5;52.4;32.5;"masculino";6
"bonobo";77.5;37.2;26.2;"feminino";6
"chimpanzé";90.2;52.6;32.8;"masculino";7
"chimpanzé";90.5;56.8;32.7;"masculino";4
"chimpanzé";81.5;46.2;32.6;"masculino";2
"bonobo";69.8;41.2;28.1;"feminino";1
"chimpanzé";94.6;54;32.2;"masculino";1
"bonobo";80.4;42.7;28.8;"masculino";4
"bonobo";74;39.7;29;"masculino";2
"bonobo";79.4;44.7;28.7;"masculino";5
"bonobo";72.9;40.9;28.6;"masculino";6
"chimpanzé";78.4;45.3;29.5;"feminino";1
"bonobo";74.1;42.4;30;"feminino";5
"chimpanzé";87;51.6;31.4;"masculino";2
"chimpanzé";83.2;41.7;30.7;"feminino";3
"chimpanzé";88.8;53.9;33.1;"masculino";6
"bonobo";70.8;35.4;27.9;"feminino";5
"chimpanzé";79.6;47.3;29.4;"feminino";4
"chimpanzé";84.6;52.7;30.7;"masculino";2
"bonobo";77.5;40.7;28.7;"masculino";4
"bonobo";66.3;37.6;29.8;"masculino";3
"chimpanzé";81.3;46.9;28.9;"feminino";1
"chimpanzé";82.3;43.5;29.7;"feminino";7
"bonobo";76.7;33.4;27.2;"feminino";3
"chimpanzé";73.3;46.2;29.6;"feminino";5
"chimpanzé";89.8;49.4;33;"masculino";7
"bonobo";69.4;36.6;30.7;"feminino";6
"bonobo";71.1;40.3;27.5;"masculino";2
"bonobo";76.4;39.1;31.7;"masculino";6
"chimpanzé";83.6;55.2;35.9;"masculino";7
"chimpanzé";87.4;51.3;31.6;"masculino";2
"chimpanzé";87.2;45.2;31;"masculino";7
"chimpanzé";80.6;43.7;29.3;"feminino";4
"chimpanzé";77.9;56;33.7;"masculino";7
"chimpanzé";86.3;51.4;32.3;"masculino";3
"chimpanzé";84.6;44;29.7;"feminino";3
"chimpanzé";79.3;45.9;29.3;"feminino";3
"chimpanzé";84;49.6;33.6;"masculino";3
"chimpanzé";91.9;53.5;31.4;"masculino";4
"chimpanzé";79.7;48.3;30.4;"feminino";2
"bonobo";76.3;40.3;28.7;"masculino";7
"bonobo";73.8;40.9;27.4;"masculino";4
"chimpanzé";78.4;41;31.2;"feminino";4
"bonobo";76.1;37.7;27.8;"feminino";2
"chimpanzé";67.4;42.8;30.7;"feminino";3
"bonobo";71.3;41.3;25.9;"feminino";3
"chimpanzé";77.9;48.6;28.6;"feminino";7
"bonobo";66.2;37.7;29.7;"feminino";3
"chimpanzé";81.2;42.6;29.8;"feminino";3
"bonobo";75.5;44.1;29.3;"masculino";3
"bonobo";74.1;37.4;28.2;"feminino";6
"bonobo";70.8;43.7;28.2;"masculino";6
"chimpanzé";79.4;44.3;31.1;"feminino";2
"bonobo";68.5;34.4;30.1;"masculino";2
"bonobo";74.6;38.5;27.2;"masculino";3
"bonobo";76.1;35.4;24.6;"feminino";2
"chimpanzé";91.5;49.1;31.6;"masculino";2
"chimpanzé";77.9;43.6;28.6;"feminino";2
"bonobo";74.7;45.3;27.7;"masculino";5
"bonobo";74.1;40.4;28.5;"masculino";5
"bonobo";72.2;37.2;26.4;"masculino";1
"bonobo";72.9;37.7;26.4;"feminino";4
"bonobo";67;41.4;29.3;"masculino";1
"chimpanzé";87.9;51.7;33.1;"feminino";7
"chimpanzé";82.1;43.6;29.8;"feminino";5
"chimpanzé";93.8;48.8;30.2;"masculino";3
"bonobo";80.5;34.5;26.7;"feminino";1
"chimpanzé";84.7;54.3;34.4;"masculino";4
"bonobo";77.9;35.9;31.6;"masculino";5
"bonobo";72.4;42.5;28.9;"feminino";7
"bonobo";75.3;41.8;28.9;"masculino";3
"bonobo";77.5;37.8;31.7;"masculino";4
"chimpanzé";84.1;53.8;32;"masculino";7
"chimpanzé";69.8;45.1;31.3;"feminino";7
"chimpanzé";70;44.5;31.4;"feminino";3
"bonobo";79;42.2;27.1;"masculino";7
"bonobo";76.9;38.6;26.9;"masculino";7
"bonobo";68.9;39.9;26;"masculino";1
"bonobo";73;36.7;29.7;"masculino";4
"bonobo";75.2;41.2;27.7;"masculino";3
"chimpanzé";92.5;52.7;31.5;"masculino";2
"bonobo";76.3;40.6;31;"masculino";7
"chimpanzé";82.1;45.8;30.2;"feminino";4
"bonobo";73.5;40.4;25.1;"feminino";3
"bonobo";80.3;41.2;26.3;"feminino";2
"bonobo";74.4;39.2;27.6;"feminino";7
"bonobo";79.9;36.7;25.9;"feminino";1
"chimpanzé";91;55.6;32.8;"masculino";1
"chimpanzé";84.7;49.1;30.8;"feminino";2
"chimpanzé";83.6;51.2;31.1;"feminino";7
"chimpanzé";79.3;48.6;29.5;"feminino";7
"chimpanzé";83.7;51.1;34;"masculino";1
"chimpanzé";78.2;39.9;31.4;"feminino";1
"chimpanzé";70.4;45.2;32;"feminino";1
"chimpanzé";81;43.7;30.7;"feminino";7
"bonobo";74.9;35.9;27.6;"feminino";3
"bonobo";76.7;39.4;28;"masculino";3
"chimpanzé";92.9;56.6;34.4;"masculino";3
"chimpanzé";83.3;47;32.8;"feminino";7
"bonobo";76.7;40.1;30.3;"masculino";6
"bonobo";66.6;34.4;27.9;"feminino";1
"chimpanzé";87.2;49.9;33.8;"masculino";6
"chimpanzé";92.4;51.5;32.6;"masculino";5
"bonobo";68.1;38.1;29.7;"masculino";5
"bonobo";73.4;40.6;27.1;"feminino";2
"bonobo";76.7;38.9;29.3;"masculino";2
"chimpanzé";84;50.5;30.7;"feminino";2
"chimpanzé";92.2;57.3;30.8;"masculino";2
"bonobo";66.7;41.4;30.4;"masculino";3
"chimpanzé";92.6;53.6;32.7;"masculino";4
"bonobo";68.7;39.6;26.4;"feminino";3
"chimpanzé";84.6;43.3;31.9;"feminino";4
"bonobo";76.3;37.5;28;"masculino";2
"chimpanzé";92.3;55.3;33.9;"masculino";4
"bonobo";78.3;38.7;29.7;"feminino";2
"chimpanzé";75.1;41.5;30.3;"feminino";1
"chimpanzé";83.2;52.1;32;"masculino";5
"bonobo";74.2;42;28.4;"masculino";5
"bonobo";71.6;40.4;28.4;"feminino";4
"bonobo";68.5;41;29.7;"feminino";3
"bonobo";72;45;27.1;"feminino";4
"bonobo";72.9;37.5;27.7;"feminino";6
"bonobo";68.2;42.2;26.4;"feminino";3
"bonobo";78.3;40.2;28.5;"masculino";1
"bonobo";70.7;39.3;25.9;"feminino";6
"bonobo";75.2;37;30.6;"masculino";5
"bonobo";73.4;45;27.9;"masculino";2
"chimpanzé";86.2;50.1;33.2;"masculino";7
"chimpanzé";86.9;45.3;31.1;"feminino";3
"chimpanzé";74.7;45.4;29.1;"feminino";4
"chimpanzé";78.1;43.8;32.5;"feminino";3
"bonobo";64.5;39.8;26.1;"feminino";5
"chimpanzé";74.6;38.1;30.2;"feminino";1
"bonobo";74.3;39.2;29.2;"masculino";6
"bonobo";60.5;39.8;27.3;"feminino";3
"chimpanzé";84.4;54.1;29.3;"masculino";2
"bonobo";76.7;39.6;26;"feminino";7
"chimpanzé";87;45.1;28.1;"feminino";1
"bonobo";74.6;37.8;28.2;"masculino";4
"chimpanzé";80.5;49;28.9;"feminino";6
"chimpanzé";88;49.9;32.2;"masculino";6
"bonobo";72.6;38.5;25.7;"feminino";6
"chimpanzé";86.9;53.5;33.1;"masculino";4
"bonobo";75.2;43.4;29.4;"masculino";4
"bonobo";80.9;40;28.1;"masculino";7
"bonobo";73.5;37.2;28.6;"masculino";3
"chimpanzé";90.4;51;33;"masculino";7
"bonobo";75.4;38.7;29.7;"masculino";4
"bonobo";66.4;40.9;29.2;"feminino";7
"chimpanzé";88.3;54.2;33.7;"masculino";5
"chimpanzé";91.5;53.5;31.2;"masculino";3
"chimpanzé";96.3;52;32.2;"masculino";6
"bonobo";67.7;41.7;27.2;"feminino";2
"chimpanzé";79.9;47;29.9;"feminino";6
"bonobo";67.3;40.3;30.1;"masculino";6
"chimpanzé";87.4;55.4;32;"masculino";2
"bonobo";74.1;42.1;29.7;"masculino";3
"chimpanzé";74;44;31.2;"feminino";6
"bonobo";65.8;37.2;27.2;"feminino";2
"bonobo";76;41.1;28;"feminino";5
"chimpanzé";75.5;43.4;29.6;"feminino";6
"bonobo";64.9;41.5;25.7;"masculino";2
"bonobo";73.6;40.3;29.6;"masculino";5
"chimpanzé";90;53.3;34.3;"masculino";2
"chimpanzé";81.6;44.4;28;"feminino";7
"bonobo";71.3;38.3;26.5;"feminino";5
"chimpanzé";94.9;50.5;31.1;"masculino";5
"bonobo";71.9;42.7;29.9;"masculino";2
"bonobo";79;37.5;30.2;"masculino";1
"chimpanzé";81.9;47.5;29;"feminino";3
"bonobo";70.2;40.3;24.6;"feminino";3
"chimpanzé";83.9;46.1;31;"feminino";3
"bonobo";75.7;34.9;27.9;"masculino";5
"chimpanzé";87.8;48.7;34.7;"masculino";5
"bonobo";68.9;40.3;28;"feminino";4
"chimpanzé";82.5;53.8;35.2;"masculino";7
"chimpanzé";82;49.8;27.7;"feminino";1
"chimpanzé";84;49.8;33.6;"masculino";1
"bonobo";80.4;38.1;29.4;"masculino";2
"bonobo";75.2;43.7;26.4;"masculino";2
"bonobo";81.9;41.7;32;"masculino";6
"chimpanzé";95;53.1;32.6;"masculino";6
"chimpanzé";89.6;51.9;31.5;"masculino";7
"bonobo";74.6;43;27.9;"masculino";2
"chimpanzé";75.5;44.4;32.1;"feminino";4
"bonobo";72.4;35.2;28.4;"feminino";7
"bonobo";80.5;35.8;25.8;"feminino";6
"bonobo";80.1;35.2;30.6;"masculino";5
"bonobo";76.8;35;28;"masculino";2
"chimpanzé";83.1;43.3;28.7;"feminino";4
"bonobo";73.2;43.8;27;"masculino";6
"chimpanzé";92;49.2;33.9;"masculino";7
"bonobo";68.9;37;31.2;"feminino";2
"bonobo";66.2;39.6;25.7;"feminino";3
"chimpanzé";87.1;54.6;30.4;"masculino";6
"chimpanzé";79.8;46.4;30.6;"feminino";7
"chimpanzé";80.9;55.9;33.2;"masculino";1
"bonobo";77.9;39;30.1;"feminino";5
"chimpanzé";82.9;42;29.9;"feminino";6
"bonobo";73.6;37.3;28.2;"masculino";5
"bonobo";70.6;43.9;28;"masculino";3
"chimpanzé";80.6;52.7;31.7;"masculino";7
"bonobo";75;35.1;28.2;"feminino";2
"chimpanzé";87;51.1;32.3;"masculino";1
"chimpanzé";80.2;44.7;29.3;"feminino";6
"bonobo";68.2;41.3;26.8;"feminino";1
"chimpanzé";87.6;52.2;31.6;"masculino";4
"chimpanzé";89.5;55.7;34.5;"masculino";7
"chimpanzé";96.4;50.5;33.8;"masculino";2
"bonobo";74.5;40.1;29.9;"masculino";5
"chimpanzé";92.4;54.4;30.8;"masculino";7
"chimpanzé";78.9;42.6;32;"feminino";6
"bonobo";75.9;41.7;29.3;"feminino";2
"chimpanzé";78.7;48.5;30.3;"feminino";1
"bonobo";74.1;37.6;26.1;"feminino";7
"bonobo";76;39.2;25.4;"feminino";1
"chimpanzé";82.2;48.6;29.7;"feminino";6
"chimpanzé";76.5;43.7;28.2;"feminino";3
"chimpanzé";76;41.6;29.3;"feminino";4
"bonobo";69.5;37.8;27.5;"feminino";1
"bonobo";72.5;38.3;26.5;"feminino";7
"bonobo";73.7;37.2;27.6;"feminino";1
"chimpanzé";81.2;44.8;31.2;"feminino";3
"bonobo";78.9;37.7;28.3;"feminino";5
"bonobo";76.2;39.6;26.4;"masculino";7
"bonobo";72;45.1;28.8;"masculino";3
"bonobo";71;37.6;28.5;"feminino";1
"bonobo";73.1;40.1;26.3;"masculino";1
"bonobo";72;45.6;25.4;"feminino";4
"bonobo";70.4;42.1;28;"masculino";3
"chimpanzé";84;47.5;28.8;"masculino";4
"bonobo";74.4;37.4;28.8;"masculino";5
"bonobo";74;44.3;29.3;"masculino";4
"bonobo";68.9;42.2;26.4;"masculino";4
"bonobo";75.4;35.3;27.5;"feminino";6
"chimpanzé";82.6;40.3;29.8;"feminino";1
"chimpanzé";89;53.9;30.4;"masculino";1
"chimpanzé";96.2;51.2;34.7;"masculino";1
"bonobo";66.3;37.8;24.9;"feminino";2
"bonobo";72.7;37;27.4;"feminino";6
"bonobo";76.1;42.3;26.8;"feminino";7
"chimpanzé";81;46;30.1;"feminino";7
"chimpanzé";71.2;45;28.4;"feminino";5
"bonobo";74.3;40.2;28.1;"feminino";4
"chimpanzé";83;52;34.3;"masculino";2
"bonobo";67.3;41.5;28.4;"masculino";6
"chimpanzé";81.6;49.9;32.1;"feminino";5
"bonobo";76.1;40.9;28.9;"feminino";2
"chimpanzé";83.6;40.4;31.7;"feminino";4
"bonobo";75;42.4;26.6;"feminino";6
"chimpanzé";87.5;48.9;32.8;"masculino";3
"chimpanzé";88.3;52.1;29.9;"masculino";1
"chimpanzé";88.7;53;32.9;"masculino";5
"bonobo";65.8;44.7;30.7;"masculino";7
"chimpanzé";87.6;55.7;34.6;"masculino";3
"bonobo";74.4;34.8;28.4;"feminino";6
"chimpanzé";90.7;47.2;30.9;"masculino";5
"bonobo";72.6;37.4;27.8;"masculino";5
"bonobo";74.1;47.3;29;"masculino";7
"chimpanzé";87.7;52.4;33.6;"masculino";6
"bonobo";71.9;43.1;26.5;"masculino";3
"bonobo";69.6;40.6;28.2;"masculino";3
"bonobo";73.8;38.6;28.2;"masculino";3
"bonobo";75.6;42.3;27.2;"feminino";1
"chimpanzé";86.5;48.9;32.2;"masculino";3
"chimpanzé";91.9;47.8;33.5;"masculino";7
"bonobo";73.8;35.8;26.8;"feminino";1
"bonobo";74;39.3;31;"feminino";7
"bonobo";70.5;43;28.2;"masculino";7
"bonobo";74.9;35.9;28.9;"feminino";2
"bonobo";68.1;41.4;28.8;"feminino";5
"bonobo";75.4;41.1;28.9;"feminino";1
"chimpanzé";91.9;53.1;32.5;"masculino";4
"chimpanzé";92.4;53.8;32.8;"masculino";6
"chimpanzé";79.7;45.1;29.3;"feminino";5
"bonobo";73.1;39.3;27.7;"feminino";6
"bonobo";77.1;38.9;25.6;"feminino";3
"chimpanzé";86.3;49.7;33.9;"masculino";2
"chimpanzé";82.2;53.4;33.7;"masculino";5
"bonobo";57.7;37.9;25.5;"feminino";1
"chimpanzé";82.6;47.4;31.6;"feminino";7
"bonobo";78.1;42.2;28.3;"masculino";1
"bonobo";67.4;35.6;26.8;"feminino";4
"chimpanzé";91.8;50;32.9;"masculino";4
"bonobo";74.7;35.7;27.7;"feminino";2
"bonobo";72.8;38.7;27.2;"feminino";7
"bonobo";71.6;40.5;26.4;"feminino";2
"chimpanzé";69.2;48.3;30.6;"feminino";1
"chimpanzé";85.2;51.9;31.8;"masculino";6
"bonobo";77.1;40.3;29.6;"feminino";7
"bonobo";76;40;26.4;"feminino";1
"bonobo";72.6;42.5;27.8;"masculino";4
"chimpanzé";77.4;43.1;30.6;"feminino";2
"bonobo";68.2;42.8;27.2;"feminino";1
"bonobo";73.8;37.1;29.8;"masculino";6
"chimpanzé";88.5;54.8;29.2;"masculino";5
"bonobo";75.1;33.5;27.1;"feminino";3
"bonobo";69.5;36.5;27.4;"masculino";2
"chimpanzé";87.7;50.4;34.5;"masculino";4
"bonobo";80.5;32.3;29.7;"masculino";4
"chimpanzé";90.5;49.2;30.7;"masculino";2
"chimpanzé";86.3;51.8;29.6;"feminino";1
"chimpanzé";75.7;43.1;28.9;"feminino";5
"bonobo";73.4;42.6;30.1;"masculino";6
"bonobo";66.9;43.8;29.8;"feminino";5
"chimpanzé";75.2;46.6;28.4;"feminino";1
"bonobo";73.5;35.3;26.9;"feminino";1
"chimpanzé";80.3;46;30.3;"feminino";2
"bonobo";67.7;41.9;27;"masculino";2
"chimpanzé";98.1;51.2;31.8;"masculino";7
"bonobo";80.6;41.9;25.3;"masculino";4
"bonobo";70.2;39.5;27.3;"masculino";7
"chimpanzé";79.6;42.8;29;"feminino";7
"chimpanzé";93.9;51.9;34.1;"masculino";2
"chimpanzé";89.3;51.2;31.9;"masculino";4
"chimpanzé";78.6;46.7;27.9;"feminino";5
"chimpanzé";84;49.1;31.8;"feminino";3
"chimpanzé";85.5;51.2;32.2;"masculino";6
"bonobo";75.4;42.3;27.9;"masculino";5
"chimpanzé";88.5;48.4;33.4;"masculino";4
"chimpanzé";93.7;47.1;31.9;"masculino";1
"bonobo";76.1;40.5;30.2;"masculino";5
"chimpanzé";82.4;55.2;31.5;"masculino";5
"chimpanzé";85.2;57.4;31.2;"masculino";6
"chimpanzé";84;46.3;32;"masculino";2
"chimpanzé";86.1;41.7;28.3;"feminino";4
"bonobo";67.5;38.4;26.1;"feminino";5
"chimpanzé";85.1;53.5;32.8;"masculino";3
"bonobo";70.8;35.2;26.8;"masculino";3
"bonobo";73.3;34.3;29.5;"masculino";4
"chimpanzé";80.2;49.8;30.5;"feminino";7
"bonobo";73.6;40.8;26.2;"feminino";4
"chimpanzé";80.7;45.4;30.4;"feminino";3
"chimpanzé";77.8;48.4;30.2;"feminino";5
"chimpanzé";83.9;53.3;31.8;"masculino";5
"bonobo";71.1;38.7;29.8;"masculino";2
"bonobo";70.6;39.8;28;"feminino";1
"chimpanzé";89.1;56.6;31.8;"masculino";7
"chimpanzé";73.9;48;32.8;"feminino";2
"bonobo";66.6;36.9;28.4;"feminino";6
"bonobo";75.1;43.5;31;"masculino";3
"chimpanzé";87.2;50.8;34.2;"masculino";7
"chimpanzé";81.2;40.3;27;"feminino";2
"bonobo";69.3;43;25.8;"feminino";6
"bonobo";77.5;39.9;30.4;"masculino";6
"bonobo";76.6;43.2;28.4;"masculino";7
"chimpanzé";92.8;50.8;33.6;"masculino";3
"chimpanzé";77.3;50.7;29.8;"feminino";6
"chimpanzé";86;43.3;28.7;"feminino";4
"bonobo";71.2;40.3;27.5;"masculino";3
"chimpanzé";86.2;49.8;29.6;"feminino";6
"chimpanzé";89.6;52.4;33.2;"masculino";1
"chimpanzé";79.5;45.4;27.1;"feminino";7
"bonobo";72.5;36.4;28.8;"masculino";6
"chimpanzé";80.5;54.5;29.7;"feminino";1
"chimpanzé";85.5;51.9;32.4;"masculino";6
"bonobo";71.8;41.1;25.7;"masculino";5
"chimpanzé";94.6;44.4;32.9;"masculino";1
"bonobo";74.2;35.2;27.7;"masculino";4
"bonobo";66.9;40.5;30;"masculino";6
"bonobo";75.5;36.8;28.8;"masculino";1
"chimpanzé";90;48.4;34.4;"masculino";1
"chimpanzé";83.3;54.9;28.8;"feminino";3
"chimpanzé";77;42.4;30.6;"feminino";2
"chimpanzé";78.2;46.2;29.8;"feminino";2
"chimpanzé";93.4;53.4;31.3;"masculino";6
"chimpanzé";79.6;42.3;30;"feminino";7
"chimpanzé";85.4;48.2;29.9;"feminino";7
"bonobo";70.1;38.4;30.2;"masculino";1
"bonobo";75.8;37.9;26.7;"feminino";3
"chimpanzé";78.7;45.8;34.4;"feminino";4
"bonobo";76.7;36.2;28.8;"feminino";2
"bonobo";77.9;41.1;27.3;"masculino";5
"bonobo";75.4;41.2;28.7;"feminino";3
"chimpanzé";95;51.7;30.7;"masculino";7
"bonobo";74.1;32.4;24.4;"feminino";5
"bonobo";75.4;44.6;26.2;"feminino";5
"chimpanzé";70.1;45.7;29.2;"feminino";7
"bonobo";76.7;39.4;29.9;"feminino";6
"chimpanzé";88.8;51.2;34;"masculino";7
"bonobo";70.5;38.4;29;"feminino";3
"chimpanzé";75.8;51.1;30.7;"feminino";7
"bonobo";78.5;40.1;27.8;"masculino";6
"chimpanzé";77.3;46.7;27.4;"feminino";5
"chimpanzé";81.2;58;33.5;"masculino";1
"bonobo";69.8;41.8;26.7;"feminino";2
"chimpanzé";86.5;56.4;31.6;"masculino";2
"bonobo";72.8;43.3;29.4;"masculino";3
"chimpanzé";76.9;44.3;28.1;"feminino";1
"bonobo";72.6;37.7;26.4;"feminino";6
"bonobo";71.9;37.2;25.6;"feminino";4
"chimpanzé";85.1;53.4;31.3;"masculino";1
"bonobo";72.3;36.5;28.9;"feminino";1
"chimpanzé";86.1;53.9;33.5;"masculino";5
"bonobo";72.8;40.2;27.6;"feminino";2
"chimpanzé";79.5;45.5;29.8;"feminino";6
"chimpanzé";77.3;48.2;27.4;"feminino";5
"bonobo";71.9;37.6;26.7;"feminino";2
"bonobo";72;37.6;28.7;"feminino";2
"bonobo";69.1;38.7;29.7;"masculino";3
"chimpanzé";83.7;51.6;31.2;"masculino";4
"bonobo";65.5;38.3;27.3;"feminino";1
"bonobo";73.9;40.6;24.5;"feminino";2
"bonobo";71.1;44.3;25.4;"masculino";1
"chimpanzé";80.5;47.7;32.8;"feminino";7
"chimpanzé";89.7;53.7;32.8;"masculino";2
"chimpanzé";81.6;53.8;31.4;"masculino";6
"chimpanzé";82.1;50;30.8;"masculino";7
"chimpanzé";94;51.1;32.1;"masculino";5
"bonobo";78.4;41.1;29.1;"masculino";4
"chimpanzé";77.9;43.2;31.3;"feminino";6
"bonobo";74.4;38;27;"masculino";1
"chimpanzé";75.3;39.1;32.5;"feminino";4
"bonobo";71.5;39.5;26.1;"feminino";5
"chimpanzé";87.1;53.5;33.1;"masculino";3
"bonobo";72.6;39.1;29;"masculino";4
"chimpanzé";87.7;51.9;29.6;"masculino";7
"bonobo";75.1;34.9;27.8;"feminino";1
"bonobo";73;35.2;26.3;"feminino";5
"chimpanzé";78.4;48.9;30.4;"feminino";3
"chimpanzé";86.3;51.6;32.9;"masculino";7
"chimpanzé";79.1;41.3;27.8;"feminino";5
"chimpanzé";79;48.3;28.4;"feminino";1
"chimpanzé";94;52.1;30;"masculino";5
"chimpanzé";97.3;55.3;29.8;"masculino";2
"bonobo";74.8;32.6;27.6;"feminino";6
"bonobo";73.1;37.2;26.3;"masculino";3
"bonobo";69.5;45.8;29.7;"masculino";1
"bonobo";72.6;36.8;28.3;"feminino";2
"bonobo";77.1;35.9;27.2;"masculino";3
"bonobo";75.6;40.3;29.6;"feminino";6
"bonobo";69.6;42.4;27.7;"masculino";1
"bonobo";77.1;39.7;28;"masculino";1
"bonobo";68.4;44.3;26.6;"masculino";2
"bonobo";63.5;45;26.6;"feminino";3
"bonobo";75.1;35.2;29.1;"feminino";4
"bonobo";78.8;37.5;27.6;"feminino";2
"bonobo";78.7;39.6;26.7;"masculino";7
"chimpanzé";82.5;48.6;28.7;"feminino";6
"chimpanzé";76.7;43.9;29.7;"feminino";5
"bonobo";70;38.8;27.6;"feminino";4
"chimpanzé";92.5;50.2;30.9;"masculino";2
"bonobo";78;39;26.1;"feminino";7
"chimpanzé";91.3;49.7;30.4;"masculino";3
"bonobo";70.7;39.5;28.6;"feminino";5
"bonobo";72.4;41.4;28.9;"masculino";3
"chimpanzé";90.1;53.1;32.7;"masculino";3
"bonobo";71.1;36.2;26.8;"feminino";6
"bonobo";73.6;39.5;28.7;"feminino";6
"chimpanzé";88.7;52.7;29.1;"masculino";2
"chimpanzé";80.3;49.1;30.2;"feminino";6
"chimpanzé";85.1;53.9;31.8;"masculino";1
"bonobo";76.3;46.3;31.4;"masculino";4
"bonobo";66.6;38.2;25.6;"feminino";2
"chimpanzé";87.8;53.7;31.7;"masculino";1
"bonobo";76.1;40.3;27.8;"feminino";1
"bonobo";73.6;36.5;28.7;"feminino";5
"chimpanzé";86.4;52.5;31.5;"masculino";3
"bonobo";74.7;35.2;28.5;"masculino";5
"bonobo";75.9;46.3;26.3;"masculino";5
"bonobo";71.2;37.1;27.3;"feminino";6
"chimpanzé";86.4;50.7;30.7;"masculino";5
"bonobo";75.4;41.4;27.2;"feminino";1
"chimpanzé";83.2;51.5;31.5;"masculino";5
"chimpanzé";85.1;47.2;29.2;"feminino";2
"bonobo";71.4;40.1;26.4;"feminino";4
"chimpanzé";87.1;50.7;31.9;"masculino";3
"chimpanzé";79.7;47.4;28;"feminino";1
"bonobo";76.3;41.1;28.2;"feminino";1
"bonobo";68.8;37.3;26.2;"feminino";3
"bonobo";71.1;38;27.9;"masculino";1
"bonobo";68.7;42;28;"masculino";6
"bonobo";75.4;43;25.1;"masculino";6
"chimpanzé";87.7;51.2;34.1;"masculino";6
"chimpanzé";73.8;47.4;30.2;"feminino";4
"chimpanzé";79.6;45.1;30.4;"feminino";4
"bonobo";71.7;39;26.7;"feminino";2
"bonobo";71.3;43.1;29.8;"feminino";2
